Num Total,Num Right,Acc,CC,CI,IC,II
2379,2163,0.9092055485498108,1753,80,136,410
2379,2127,0.8940731399747793,1781,52,200,346
2379,2152,0.9045817570407735,1767,66,161,385
2379,2192,0.9213955443463641,1736,97,90,456
2379,2151,0.9041614123581336,1753,80,148,398
2379,2179,0.9159310634720471,1718,115,85,461
2379,2194,0.9222362337116435,1755,78,107,439
2379,2199,0.9243379571248423,1732,101,79,467
2379,2220,0.9331651954602774,1754,79,80,466
2379,2226,0.935687263556116,1774,59,94,452
2379,2210,0.9289617486338798,1744,89,80,466
2379,2211,0.9293820933165196,1761,72,96,450
2379,2212,0.9298024379991593,1754,79,88,458
2379,2216,0.9314838167297184,1751,82,81,465
2379,2214,0.9306431273644389,1754,79,86,460
2379,2212,0.9298024379991593,1745,88,79,467
